"Lon";"Lat"
"2251";5.40414;43.17578
"2253";5.49888;43.1976
"2254";8.69292;42.53276
"2256";5.28639;43.28016
"2258";5.45583;43.20166
"2263";5.45508;43.20243
"2264";8.72236;42.59304
"2267";8.70945;42.53766
"2269";5.22835;43.19853
"2275";8.69685;41.79177
"2280";8.72894;42.58562
"2289";9.743856;40.912687
"2290";8.95128;41.43771
"2304";5.39328;43.17276
"2305";5.39671;43.1786
"2306";8.76371;41.59132
"2307";3.15783;42.47677
"2308";5.39991;43.17391
"2309";8.70696;42.56838
"2310";8.76162;41.59094
"2311";5.37116;43.17603
"2312";8.79037;41.63533
"2325";9.21021;41.3555
"2326";9.25222;41.30929
"2327";8.89997;41.43742
"2336";9.08578;41.38738
"2343";6.14008;43.01245
"2344";6.59262;43.1684
"2353";6.13951;43.01237
"2354";6.10879;43.02567
"2357";6.1529;43.00133
"2361";6.14982;43.00682
"2362";6.47712;43.05001
"2371";5.33034;43.21316
"2380";5.08917;43.31046
"2381";7.52008;43.75516
"2386";5.23663;43.32912
"2388";5.02803;43.32095
"2389";5.22193;43.32836
"2390";5.22992;43.32841
"2391";5.21788;43.3283
"2392";5.24648;43.33332
"2393";5.03207;43.31476
"2394";5.03208;43.31488
"2417";5.08965;43.31085
"2418";5.19442;43.27353
"2419";5.16199;43.2889
"2420";5.18573;43.29396
"2427";5.35201;43.2074
"2444";5.53333;43.2
"2471";5.37505;43.17984
"2483";15.712017;38.255851
"2489";3.223286;42.042008
"2496";5.37089;43.17654
"2498";5.35631;43.20188
"2499";5.34018;43.21017
"2500";5.33748;43.20735
"2502";5.33747;43.2075
"2503";5.33794;43.20578
"2507";5.33281;43.21057
"2511";6.40841;43.01945
"2521";5.59334;43.1648
"2522";5.58718;43.16815
"2523";3.13163;42.51141
"2536";5.42799;43.20347
"2537";5.38416;43.17394
"2538";5.45254;43.20114
"2539";5.3941;43.17113
"2540";5.37091;43.17624
"2541";5.39881;43.17677
"2542";5.50501;43.19729
"2543";5.39163;43.18581
"2544";5.36343;43.19626
"2545";5.33692;43.20721
"2546";5.68083;43.15917
"2551";3.1771;42.4409
"2567";5.28863;43.25978
"2568";5.28657;43.28066
"2569";5.60638;43.16
"2570";5.61193;43.1603
"2571";5.61922;43.15706
"2572";5.62273;43.1553
"2573";5.28484;43.26361
"2590";-0.693756;37.632725
"2605";6.14336;43.01979
"2612";6.68548;43.31471
"2616";6.88546;43.42822
"2618";6.90822;43.41844
"2619";5.61668;43.15955
"2624";6.15599;43.00217
"2627";3.222342;42.047585
"2638";6.3785;43.09779
"2639";6.47579;43.04857
"2644";6.4857;43.03486
"2646";6.49294;43.03192
"2647";6.34886;43.08367
"2648";5.73541;43.12561
"2649";5.67873;43.1555
"2650";5.69358;43.14296
"2651";6.24197;43.02824
"2652";6.72905;43.26615
"2653";5.70864;43.14318
"2654";6.56969;43.17811
"2678";5.05556;43.31604
"2684";5.30218;43.28445
"2685";5.60105;43.16088
"2686";5.28481;43.27958
"2688";5.33181;43.20885
"2689";5.28867;43.26625
"2690";5.23742;43.19595
"2692";5.21153;43.32881
"2693";5.46937;43.20252
"2713";5.60781;43.16075
"2718";6.37178;43.01853
"2721";8.65;42.47167
"2722";8.6316;42.4208
"2727";5.23589;43.33016
"2764";3.320331;42.321681
"2823";14.86;36.15
"2825";3.134624;42.480874
"2839";3.1667;42.4667
