"";"Species";"Location";"Year";"Lon";"Lat";"Depth";"Main.reference"
"144";"Paramuricea clavata";"Corsica; France";NA;9.2512;41.30282;"25";"Garrabou; J.; Coma; R.; Bensoussan; N.; Bally; M.; Chevaldonné; P.; Cigliano; M.; … Cerrano; C. (2009). Mass mortality in Northwestern Mediterranean rocky benthic communities: effects of the 2003 heat wave. Global Change Biology; 15(5); 1090-1103. doi:10.1111/j.1365-2486.2008.01823.x In Rivetti; I.; Fraschetti; S.; Lionello; P.; Zambianchi; E.; & Boero; F. (2014). Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. In PloS one; 9(12); (pp. 1-22)."
"146";"Paramuricea clavata";"Lavezzi islands; Corsica; France";NA;9.2656;41.34872;"";"Mistri; M. (1994). Ecological observations on a population of the Mediterranean gorgonian Paramuricea clavata (Risso; 1826). In Bolletino di zoologia; 61(02); (pp. 163-166)."
"148";"Paramuricea clavata";"Fondali Porto Maurizio; San Lorenzo al Mare; Torre dei Marmi; Italy";NA;7.982;43.852;"";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=IT1315971"
"155";"Paramuricea clavata";"From La Spezia to Genoa; Italy";NA;9.51;44.18;"50";"Rivetti; I.; Fraschetti; S.; Lionello; P.; Zambianchi; E.; & Boero; F. (2014). Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. In PloS one; 9(12); (pp. 1-22)."
"156";"Paramuricea clavata";"Mesco Point; Italy";NA;9.62685;44.12155;"40";"Cerrano; C.; Bavestrello; G.; Bianchi; C. N.; Cattaneo-Vietti; R.; Bava; S.; Morganti; C.; ? Sponga; F. (2000). A catastrophic mass-mortality episode of gorgonians and other organisms in the Ligurian Sea (North-western Mediterranean); summer 1999. Ecology Letters; 3(4); 284?293. doi:10.1046/j.1461-0248.2000.00152.x"
"157";"Paramuricea clavata";"Tino Island; Italy";NA;9.81593;44.00614;"21";"Cupido; R.; Cocito; S.; Sgorbini; S.; Bordone; a.; & Santangelo; G. (2008). Response of a gorgonian (Paramuricea clavata) population to mortality events: Recovery or loss? Aquatic Conservation: Marine and Freshwater Ecosystems; 18(6); 984?992. doi:10.1002/aqc.904"
"158";"Paramuricea clavata";"Scoglietto di Portoferraio; Italy";NA;10.324;42.824;"";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=IT5160019"
"159";"Paramuricea clavata";"Elba 1a first; Italy";NA;9.967;42.783;"60-69";"Angiolillo; M.; Gori; A.; Canese; S.; Bo; M.; Priori; C.; Bavestrello; G.; ? Santangelo; G. (2015). Distribution and population structure of deep-dwelling red coral in the Northwest Mediterranean. Marine Ecology; (JANUARY); n/a?n/a. doi:10.1111/maec.12274"
"161";"Paramuricea clavata";"Elba 2b; Italy";NA;10.017;42.683;"74-90";"Angiolillo; M.; Gori; A.; Canese; S.; Bo; M.; Priori; C.; Bavestrello; G.; ? Santangelo; G. (2015). Distribution and population structure of deep-dwelling red coral in the Northwest Mediterranean. Marine Ecology; (JANUARY); n/a?n/a. doi:10.1111/maec.12274"
"162";"Paramuricea clavata";"Elba 4a; Italy";NA;10.02624;42.54504;"79-94";"Angiolillo; M.; Gori; A.; Canese; S.; Bo; M.; Priori; C.; Bavestrello; G.; ? Santangelo; G. (2015). Distribution and population structure of deep-dwelling red coral in the Northwest Mediterranean. Marine Ecology; (JANUARY); n/a?n/a. doi:10.1111/maec.12274"
"163";"Paramuricea clavata";"Elba 1b; Italy";NA;10.117;42.533;"81-91";"Angiolillo; M.; Gori; A.; Canese; S.; Bo; M.; Priori; C.; Bavestrello; G.; ? Santangelo; G. (2015). Distribution and population structure of deep-dwelling red coral in the Northwest Mediterranean. Marine Ecology; (JANUARY); n/a?n/a. doi:10.1111/maec.12274"
"164";"Paramuricea clavata";"Isola di Giannutri; area terrestre e marina; Site Code: IT51A0024; Italy";NA;11.117;42.265;"15-60";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=IT51A0024"
"166";"Paramuricea clavata";"Isola dei Cavoli; Serpentara; Punta Molentis e Campulongu; Sardinia; Italy";NA;9.558;39.118;"";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ITB040020"
"167";"Paramuricea clavata";"Tavolara Island; Papa 1 and Papa 2; Sardinia; Italy";NA;9.71439;40.89684;"15-43";"Huete-Stauffer; C.; Vielmini; I.; Palma; M.; Navone; A.; Panzalis; P.; Vezzulli; L.; ? Cerrano; C. (2011). Paramuricea clavata (Anthozoa; Octocorallia) loss in the Marine Protected Area of Tavolara (Sardinia; Italy) due to a mass mortality event. Marine Ecology; 32; 107?116. doi:10.1111/j.1439-0485.2011.00429.x"
"168";"Paramuricea clavata";"Fondali marini di Ischia- Procida e Vivara; Italy";NA;13.923;40.757;"";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=IT8030010"
"171";"Paramuricea clavata";"Gulf of Naples; Italy";NA;14.29;40.83;"32";"Garrabou; J.; Coma; R.; Bensoussan; N.; Bally; M.; Chevaldonné; P.; Cigliano; M.; … Cerrano; C. (2009). Mass mortality in Northwestern Mediterranean rocky benthic communities: effects of the 2003 heat wave. Global Change Biology; 15(5); 1090-1103. doi:10.1111/j.1365-2486.2008.01823.x In Rivetti; I.; Fraschetti; S.; Lionello; P.; Zambianchi; E.; & Boero; F. (2014). Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. In PloS one; 9(12); (pp. 1-22)."
"175";"Paramuricea clavata";"Fondali Isola di Dino-Capo Scalea; Italy";NA;15.7613;39.85605;"40";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=IT9310035"
"176";"Paramuricea clavata";"Fondali di Capo Tirone; Italy";NA;15.8166;39.61443;"";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=IT9310033"
"177";"Paramuricea clavata";"Shoal 4; Gulf Efigemia; Italy";NA;16.127;38.902;"70-120";"Bo; M.; Canese; S.; Spaggiari; C.; Pusceddu; A.; Bertolino; M.; Angiolillo; M.; ? Bavestrello; G. (2012). Deep coral oases in the South Tyrrhenian Sea. PloS One; 7(11); e49870. doi:10.1371/journal.pone.0049870"
"178";"Paramuricea clavata";"Shoal 3; Gulf Efigemia; Italy";NA;16.146;38.871;"70-120";"Bo; M.; Canese; S.; Spaggiari; C.; Pusceddu; A.; Bertolino; M.; Angiolillo; M.; ? Bavestrello; G. (2012). Deep coral oases in the South Tyrrhenian Sea. PloS One; 7(11); e49870. doi:10.1371/journal.pone.0049870"
