Lon;Lat
-8.725;43.325
-8.525;43.325
-9.125;42.825
-9.025;42.675
-8.875;42.025
-8.981;41.925
-8.875;41.825
-8.875;41.725
-8.868;41.625
-8.868;41.575
-8.868;41.525
-8.775;41.375
-8.725;41.225
-8.675;41.025
-8.775;40.625
-8.875;40.175
-9.275;39.425
-9.375;39.325
-9.425;39.125
-9.425;38.975
-9.175;38.425
-8.875;37.975
-8.825;37.825
-8.875;37.725
-9.625;30.375
