Lon;Lat
-16.457939;19.739766
-16.225236;20.228214
-16.90472222;14.27166667
-16.83416667;14.15222222
-23.51027778;14.90888889
-13.05448;7.641079
-16.811234;13.384509
6.68026;0.414204
6.730666;0.395462
6.7465;0.246614
7.454281;1.632689
6.86166667;0.57277778
9.349402;0.892721
13.108091;-8.95653
-76.66666667;34.71666667
-80.49138889;27.85333333
-87.4;30.38333333
-80.70361111;28.34527778
-82.78611111;28.10833333
-87.5;30.3
-97.36666667;27.35
-97.23416667;26.15
-97.15;26.06666667
-79.26666667;25.73333333
-64.59638889;17.7575
-69.052366;12.273369
-69.052609;12.204255
-68.853585;12.066101
-91.787836;18.620293
-97.74055556;24.50416667
-96.381382;19.589034
-66.676877;11.945213
-69.83305556;12.01416667
-43.90777778;-22.95138889
-43.926944;-23.054443
-44.434444;-22.98333
-42.011112;-22.883052
-36.321424;-5.104827
-38.7175;-17.96666667
-38.58027778;-3.69194444
-38.63333333;-12.83333333
-34.82555556;-7.72944444
-34.82361111;-7.75333333
-41.40944444;-2.90194444
-38.71666667;-17.97722222
-45.11666667;-23.5
-41.884128;-22.769548
-42.005635;-22.882278
-43.917471;-22.996072
-43.908769;-22.948193
-44.226415;-23.016326
-44.619266;-23.215295
-38.99305556;-16.40777778
-48.443468;-25.45238
-48.308123;-25.539571
-38.584539;-3.692549
-37.35;-4.68333333
-16.445;19.4800
-16.841;14.1560
-23.508;14.9120
-16.3820;11.2810
-16.4050;11.3120
7.4550;1.6330
7.456;1.635
6.6560;0.4140
6.7470;0.2550
9.3070;0.5940
13.0640;-9.006
-97.324;27.718
-97.223 ;26.319
-63.000;17.513
-62.988;17.483
-62.956;17.465
-69.055;12.272
-68.998;12.148
-68.854;12.066
-32.424;-3.867
-34.834;-7.981
-40.097230;-19.911950
-40.141317;-19.953790
-40.167251;-20.037988
-40.173115;-20.096035
 -40.175779;-20.119948
-40.192379;-20.200215
-40.137331;-19.972685
-40.285798;-20.301384
-40.271780;-20.324801
-40.283671;-20.309373
-48.446;-27.581
-80.154366;25.69821
-69.456353;19.328134
-80.404862;25.125762
-69.48246;19.325133
-69.48674;19.323658
-61.483208;12.45711
-38.936277;-13.917472
-38.982222;-16.403056
-83.579375;29.772326
-94.95833;29.20775
-38.993056;-16.407778
-48.429722;-27.579722
-80.30989;25.31388
-80.30064;25.31177
-80.36522;25.21897
-80.37006;25.22878
-80.29167;25.32355
-80.36703;25.23078
-80.35669;25.23381
-80.3498;25.2587
-80.36237;25.24186
-80.34817;25.24494
-80.36176;25.21164
-80.37633;25.21297
-80.37376;25.20694
-80.66747;25.06301
-80.66206;25.05055
-80.68124;25.05788
-80.67886;25.07454
-80.68774;25.08188
-80.68259;25.07971
-80.65176;24.99754
-80.67296;25.0486
-80.68393;25.05158
-80.64209;24.99759
-80.68289;25.07185
-80.64347;25.01069
-80.65818;25.01098
-80.67307;25.0764
-80.63103;24.99637
-80.79565;25.10283
-80.64456;25.00256
-80.7896;25.1014
-80.80687;25.10811
-80.79639;25.10663
-80.80524;25.10885
-80.7879;25.10644
-80.80707;25.11007
-80.74316;25.06373
-80.77331;25.05009
-80.77112;25.0712
