"Lon";"Lat"
"643";-5.064365;50.06512
"644";-6.348742;49.957163
"649";-5.065573;50.140811
"650";-5.070276;50.083112
"651";-5.086726;50.099768
"652";-5.055963;50.143763
"653";-5.062893;50.142681
"654";-5.081084;50.099019
"657";-3.954691;50.22805
"658";-2.183719;49.17596
"659";-6.389591;49.9479
"660";-4.129279;50.34169
"661";-5.06395;50.06541
"662";-4.184133;50.32374
"663";-4.200348;50.333587
"664";-5.015096;50.139435
"665";-5.118778;50.098011
"667";-5.040648;50.145065
"668";-5.073758;50.093815
"880";-5.040928;50.04395
"893";-6.243903;49.9664
"894";-6.274879;49.97193
"896";-6.259577;49.93506
"897";-6.272746;49.97573
"898";-2.357704;49.40138
"899";-2.345234;49.44727
"900";-2.357299;49.4006
"901";-4.127313;50.33701
"902";-2.364774;49.40112
"903";-2.368716;49.39935
"905";-4.187463;50.32251
"906";-4.06075;50.29156
"910";-5.063954;50.0659
"916";-2.376555;49.40965
"917";-5.050123;50.14524
"918";-5.062447;50.0552
"919";-1.2703;49.6899
"922";-2.182022;49.71018
"923";-2.180099;49.71159
"924";-2.175103;49.71289
"925";-2.168907;49.7163
"926";-2.17491;49.71321
"927";-2.220279;49.69923
"928";-2.172302;49.71508
"932";-2.171428;49.7151
"935";-2.221274;49.69987
"936";-2.168147;49.71713
"937";-2.180639;49.71129
"938";-6.273667;49.92883
"944";-6.262581;49.96873
"946";-6.260562;49.93406
"949";-6.267408;49.97423
"951";-6.306586;49.96606
"952";-6.250574;49.93589
"954";-6.250567;49.95939
"955";-2.341554;49.43198
"956";-3.988683;50.30119
"958";-3.978897;50.22338
"959";-4.187197;50.32375
"961";-2.384556;49.40665
"962";-2.367392;49.39915
"963";-2.364003;49.40134
"964";-2.357465;49.40063
"965";-2.345795;49.41515
"966";-2.368241;49.44447
"967";-2.352095;49.41504
"968";-2.345399;49.44714
"970";-6.264915;49.9549
"971";-5.672884;50.0223
"977";-6.252407;49.93739
"983";-6.284075;49.97272
"984";-4.652305;51.163791
"985";-4.667029;51.195834
"992";-6.242544;49.94415
"993";-6.27391;49.92373
"995";-6.249996;49.93756
"996";-4.111044;50.30609
"999";-8.9027;42.4562
"1000";-6.244574;49.94772
"1001";-6.242412;49.94439
"1002";-6.274078;49.92122
"1004";-6.24191;49.95723
"1012";-6.25408;49.96773
"1013";-6.319081;49.96973
"1014";-6.253239;49.9669
"1016";-6.273071;49.92905
"1018";-6.273077;49.92913
"1019";-6.260737;49.93272
"1021";-3.982087;50.22286
"1022";-5.041197;50.04423
"1024";-6.246245;49.96606
"1025";-6.260238;49.93323
"1027";-6.384081;49.93439
"1028";-6.270736;49.92739
"1030";-6.246411;49.94373
"1031";-6.259367;49.96946
"1034";-6.27124;49.97606
"1035";-3.606491;50.31741
"1036";-1.8233;49.6983
"1038";-6.311574;49.97923
"1039";-6.379427;49.95807
"1040";-6.258074;49.96873
"1041";-4.143006;50.32219
"1043";-2.393965;49.42482
"1044";-2.364137;49.4529
"1045";-2.376716;49.43057
"1046";-2.368185;49.44439
"1048";-2.34548;49.44688
"1050";-2.351633;49.41598
"1052";-2.364869;49.40092
"1053";-2.32385;49.42455
"1059";-2.286855;49.72051
"1060";-3.981085;50.22373
"1064";-4.650556;51.162778
"1066";-6.256408;49.9704
"1067";-6.27058;49.92706
"1069";-6.246244;49.9659
"1070";-6.245872;49.94362
"1073";-6.274849;49.92269
"1074";-6.272914;49.92255
"1075";-6.310748;49.98123
"1088";-8.7105;41.1973
"1091";-8.70833333333334;41.0416666666667
"1095";-5.052412;50.044002
"1098";-6.257825;49.93622
"1102";-6.253786;49.96961
"1103";-2.180356;49.73098
"1104";-2.15602;49.72731
"1105";-2.256381;49.72612
"1106";-2.15607;49.7274
"1108";-2.166488;49.71923
"1109";-2.193357;49.72948
"1110";-4.184561;50.32238
"1111";-2.184523;49.72848
"1112";-2.160353;49.73265
"1114";-8.875;41.625
"1116";-8.87734;41.74468
"1118";-8.8342;41.68
"1129";-8.73351;41.2913
"1133";-4.338876;50.20908
"1143";-8.851667;41.691667
"1145";-4.162942;50.360823
"1146";-5.6089;36.0025
"1148";-28.614;38.645
"1149";-6.361885;49.95675
"1150";-6.346699;49.95834
"1151";-6.252124;49.93435
"1155";-4.101269;50.317432
"1426";-6.284141;49.98323
"1427";-6.244303;49.96522
"1428";-6.305875;49.969113
"1429";-6.242167;49.95917
"1434";-4.1352;50.33795
"1435";-4.155877;50.360054
"1436";-4.152701;50.352018
"1438";-8.903539;40.177513
"1439";-5.086899;50.102462
"1440";-8.875;41.625
"1442";-7.4;37.18
"1443";-8.188497;37.089327
"1444";-8.793436;37.820059
"1445";-8.298182;37.072434
"1446";-8.875;37.375
"1447";-8.864691;37.289191
"1448";-8.681465;37.08385
"1449";-8.921792;37.02109
"1450";-8.802884;37.912645
"1451";-8.873573;41.784753
"1452";-8.853935;41.698016
"1453";-8.729113;41.264639
"1454";-8.729791;41.274929
"1455";-8.70833333333334;41.0416666666667
"1456";-9.45833333333334;39.125
"1457";-9.54166666666667;38.7916666666667
"1458";-9.347106;39.309556
"1459";-8.981859;38.478248
"1460";-9.423544;39.014081
"1461";-9.473426;38.741236
"1462";-9.42008;38.933212
"1465";-8.70833333333334;41.125
"1466";-8.857093;41.699426
"1467";-8.872269;41.816049
"1468";-8.742765;41.3099
"1469";-8.737265;41.295714
"1470";-8.875;41.7916666666667
"1471";-8.716956;41.223489
"1472";-8.686061;41.1597
"1473";-8.70833333333334;41.0416666666667
"1474";-8.876095;41.736517
"1476";-5.013698;50.139471
"1478";-9.42029;38.961181
"1479";-9.339807;39.375856
"1481";-9.377283;39.37344
"1482";-9.360986;38.688432
"1483";-9.45061;38.865024
"1484";-9.486673;38.709571
"1485";-9.142621;39.511391
"1486";-8.66897;37.091115
"1487";-8.797249;37.891804
"1488";-8.854811;37.340579
"1489";-8.945659;37.102461
"1490";-8.877728;37.045155
"1491";-8.788036;37.524209
"1492";-8.729989;37.084187
"1495";-9.215187;38.423685
"1496";-5.120058;50.096178
"1498";-5.078061;50.0955
"1502";-5.07655;50.093741
"1505";-5.022933;50.152724
"1535";-1.360573;50.600418
